PROFESSIONAL ICT STRATEGY BACKTEST RESULTS
Backtest Period: January 2025 - February 24, 2026
Trading System: D1 Bias + H1 Order Blocks + M5 Execution + Killzone
Starting Capital: $100 (10X Leverage = $1,000 Trading Capital)

=== ACCOUNT SUMMARY ===
Starting Capital,$100.00
Leverage,10X
Trading Capital,$1000.00
Final Balance,$988.33
Total Profit/Loss,$-11.67
Return %,-1.17%
Max Drawdown,5.07%
Win Rate,49.16%

=== TRADE STATISTICS ===
Total Trades,417
Winning Trades,205
Losing Trades,212
Average Win,$1.17
Average Loss,$-1.19
Profit Factor,0.95x

=== QUALITY DISTRIBUTION ===
A+ Trades (3+ OBs),417
A Trades (2 OBs),0
B Trades (1 OB),0

=== SESSION ANALYSIS ===
Asia Zone Trades,180
London Zone Trades,108
New York Zone Trades,129

=== DETAILED TRADE LIST ===
Trade #,Date,Side,Quality,Killzone,Entry Price,Exit Price,Profit $,Profit %,Duration Days,Entry Reason,Exit Reason

1,2026-02-21,LONG,A+,NY,68117.56000000,68010.36000000,-1.57,-0.16,0,"D1:LONG | H1:5OBs | NY | Q:A+","Bias reversed to SHORT. Price: 68117.56 → 68010.36 (-1.57)"
76,2026-02-22,SHORT,A+,ASIA,67848.26000000,67891.98000000,-0.64,-0.06,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67848.26 → 67891.98 (-0.64)"
77,2026-02-22,SHORT,A+,ASIA,67891.98000000,67968.68000000,-1.13,-0.11,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67891.98 → 67968.68 (-1.13)"
78,2026-02-22,SHORT,A+,ASIA,67968.68000000,67956.00000000,0.19,0.02,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 67968.68 → 67956.00 (+0.19)"
79,2026-02-22,SHORT,A+,ASIA,67956.00000000,67957.53000000,-0.02,-0.00,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67956.00 → 67957.53 (-0.02)"
80,2026-02-22,SHORT,A+,ASIA,67957.53000000,67992.90000000,-0.52,-0.05,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67957.53 → 67992.90 (-0.52)"
81,2026-02-22,SHORT,A+,ASIA,67992.90000000,68058.10000000,-0.96,-0.10,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67992.90 → 68058.10 (-0.96)"
82,2026-02-22,SHORT,A+,ASIA,68058.10000000,68000.00000000,0.85,0.09,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 68058.10 → 68000.00 (+0.85)"
83,2026-02-22,SHORT,A+,ASIA,68000.00000000,68041.43000000,-0.61,-0.06,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68000.00 → 68041.43 (-0.61)"
84,2026-02-22,SHORT,A+,ASIA,68041.43000000,68072.02000000,-0.45,-0.04,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68041.43 → 68072.02 (-0.45)"
85,2026-02-22,SHORT,A+,ASIA,68072.02000000,68031.96000000,0.59,0.06,0,"D1:SHORT | H1:4OBs | ASIA | Q:A+","Signal continued. Price: 68072.02 → 68031.96 (+0.59)"
86,2026-02-22,SHORT,A+,ASIA,68031.96000000,68069.63000000,-0.55,-0.06,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 68031.96 → 68069.63 (-0.55)"
87,2026-02-22,SHORT,A+,ASIA,68069.63000000,68040.00000000,0.44,0.04,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68069.63 → 68040.00 (+0.44)"
88,2026-02-22,SHORT,A+,ASIA,68040.00000000,68023.74000000,0.24,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68040.00 → 68023.74 (+0.24)"
89,2026-02-22,SHORT,A+,ASIA,68023.74000000,68013.40000000,0.15,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68023.74 → 68013.40 (+0.15)"
90,2026-02-22,SHORT,A+,ASIA,68013.40000000,68008.82000000,0.07,0.01,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68013.40 → 68008.82 (+0.07)"
91,2026-02-22,SHORT,A+,ASIA,68008.82000000,67993.67000000,0.22,0.02,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68008.82 → 67993.67 (+0.22)"
92,2026-02-22,SHORT,A+,ASIA,67993.67000000,67987.14000000,0.10,0.01,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 67993.67 → 67987.14 (+0.10)"
93,2026-02-22,SHORT,A+,ASIA,67987.14000000,67981.80000000,0.08,0.01,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 67987.14 → 67981.80 (+0.08)"
94,2026-02-22,SHORT,A+,ASIA,67981.80000000,68004.32000000,-0.33,-0.03,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67981.80 → 68004.32 (-0.33)"
95,2026-02-22,SHORT,A+,ASIA,68004.32000000,67983.50000000,0.31,0.03,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Signal continued. Price: 68004.32 → 67983.50 (+0.31)"
96,2026-02-22,SHORT,A+,ASIA,67983.50000000,68034.31000000,-0.75,-0.07,0,"D1:SHORT | H1:5OBs | ASIA | Q:A+","Bias reversed to LONG. Price: 67983.50 → 68034.31 (-0.75)"
97,2026-02-22,SHORT,A+,LONDON,68034.31000000,68017.76000000,0.24,0.02,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68034.31 → 68017.76 (+0.24)"
98,2026-02-22,SHORT,A+,LONDON,68017.76000000,68036.27000000,-0.27,-0.03,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68017.76 → 68036.27 (-0.27)"
99,2026-02-22,SHORT,A+,LONDON,68036.27000000,68003.87000000,0.48,0.05,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68036.27 → 68003.87 (+0.48)"
100,2026-02-22,SHORT,A+,LONDON,68003.87000000,68012.40000000,-0.13,-0.01,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68003.87 → 68012.40 (-0.13)"
101,2026-02-22,SHORT,A+,LONDON,68012.40000000,68023.58000000,-0.16,-0.02,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68012.40 → 68023.58 (-0.16)"
102,2026-02-22,SHORT,A+,LONDON,68023.58000000,68042.28000000,-0.27,-0.03,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68023.58 → 68042.28 (-0.27)"
103,2026-02-22,SHORT,A+,LONDON,68042.28000000,68041.00000000,0.02,0.00,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68042.28 → 68041.00 (+0.02)"
104,2026-02-22,SHORT,A+,LONDON,68041.00000000,68085.95000000,-0.66,-0.07,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68041.00 → 68085.95 (-0.66)"
105,2026-02-22,SHORT,A+,LONDON,68085.95000000,68063.97000000,0.32,0.03,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68085.95 → 68063.97 (+0.32)"
106,2026-02-22,SHORT,A+,LONDON,68063.97000000,68008.88000000,0.81,0.08,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68063.97 → 68008.88 (+0.81)"
107,2026-02-22,SHORT,A+,LONDON,68008.88000000,68005.30000000,0.05,0.01,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68008.88 → 68005.30 (+0.05)"
108,2026-02-22,SHORT,A+,LONDON,68005.30000000,67994.45000000,0.16,0.02,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68005.30 → 67994.45 (+0.16)"
109,2026-02-22,SHORT,A+,LONDON,67994.45000000,67997.63000000,-0.05,-0.00,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67994.45 → 67997.63 (-0.05)"
110,2026-02-22,SHORT,A+,LONDON,67997.63000000,67986.78000000,0.16,0.02,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 67997.63 → 67986.78 (+0.16)"
111,2026-02-22,SHORT,A+,LONDON,67986.78000000,68005.99000000,-0.28,-0.03,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67986.78 → 68005.99 (-0.28)"
112,2026-02-22,SHORT,A+,LONDON,68005.99000000,67951.96000000,0.79,0.08,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 68005.99 → 67951.96 (+0.79)"
113,2026-02-22,SHORT,A+,LONDON,67951.96000000,67963.26000000,-0.17,-0.02,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67951.96 → 67963.26 (-0.17)"
114,2026-02-22,SHORT,A+,LONDON,67963.26000000,67955.37000000,0.12,0.01,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 67963.26 → 67955.37 (+0.12)"
115,2026-02-22,SHORT,A+,LONDON,67955.37000000,67987.77000000,-0.48,-0.05,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67955.37 → 67987.77 (-0.48)"
116,2026-02-22,SHORT,A+,LONDON,67987.77000000,67959.13000000,0.42,0.04,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 67987.77 → 67959.13 (+0.42)"
117,2026-02-22,SHORT,A+,LONDON,67959.13000000,67955.02000000,0.06,0.01,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 67959.13 → 67955.02 (+0.06)"
118,2026-02-22,SHORT,A+,LONDON,67955.02000000,67956.67000000,-0.02,-0.00,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67955.02 → 67956.67 (-0.02)"
119,2026-02-22,SHORT,A+,LONDON,67956.67000000,67950.10000000,0.10,0.01,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Signal continued. Price: 67956.67 → 67950.10 (+0.10)"
120,2026-02-22,SHORT,A+,LONDON,67950.10000000,68005.57000000,-0.82,-0.08,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 67950.10 → 68005.57 (-0.82)"
121,2026-02-22,SHORT,A+,LONDON,68005.57000000,68027.30000000,-0.32,-0.03,0,"D1:SHORT | H1:5OBs | LONDON | Q:A+","Bias reversed to LONG. Price: 68005.57 → 68027.30 (-0.32)"
